Timestamp;Visitors
2024-11-19T17:20:05.047029Z;236
2024-11-19T17:30:05.787692Z;236
2024-11-19T17:40:04.701662Z;245
2024-11-19T17:50:05.298921Z;272
2024-11-19T18:00:05.040750Z;272
2024-11-19T18:10:05.699586Z;283
2024-11-19T18:20:07.935604Z;270
2024-11-19T18:30:06.205769Z;270
2024-11-19T18:40:05.331293Z;256
2024-11-19T18:50:05.778167Z;256
2024-11-19T19:00:06.360848Z;256
2024-11-19T19:10:04.131710Z;245
2024-11-19T19:20:04.941744Z;207
2024-11-19T19:30:04.850769Z;207
2024-11-19T19:40:04.848785Z;189
2024-11-19T19:50:06.490463Z;163
2024-11-19T20:00:05.488436Z;163
2024-11-19T20:10:06.750038Z;146
2024-11-19T20:20:05.145730Z;126
2024-11-19T20:30:04.658927Z;126
2024-11-19T20:40:04.795807Z;101
2024-11-19T20:50:05.321754Z;70
2024-11-19T21:00:05.383428Z;70
2024-11-19T21:10:06.180004Z;11
2024-11-19T21:20:05.594464Z;—
2024-11-19T21:30:06.063639Z;—
2024-11-19T21:40:04.505422Z;—
2024-11-19T21:50:04.162863Z;—
2024-11-19T22:00:04.413432Z;—
2024-11-19T22:10:04.808803Z;—
2024-11-19T22:20:07.648975Z;—
2024-11-19T22:30:04.632441Z;—
2024-11-19T22:40:08.773857Z;—
2024-11-19T22:50:04.109030Z;—
2024-11-19T23:00:05.847581Z;—
2024-11-19T23:10:07.161689Z;—
2024-11-20T05:10:06.694304Z;—
2024-11-20T05:20:04.817417Z;34
2024-11-20T05:30:04.767866Z;34
2024-11-20T05:40:04.506982Z;46
2024-11-20T05:50:05.362761Z;52
2024-11-20T06:00:04.806878Z;52
2024-11-20T06:10:05.590398Z;48
2024-11-20T06:20:08.483630Z;50
2024-11-20T06:30:12.630157Z;50
2024-11-20T06:40:07.843724Z;42
2024-11-20T06:50:04.545026Z;47
2024-11-20T07:00:06.358966Z;47
2024-11-20T07:10:04.585946Z;46
2024-11-20T07:20:05.233663Z;49
2024-11-20T07:30:09.731266Z;49
2024-11-20T07:40:04.852941Z;57
2024-11-20T07:50:06.468791Z;62
2024-11-20T08:00:06.205399Z;62
2024-11-20T08:10:06.505468Z;81
2024-11-20T08:20:05.591633Z;95
2024-11-20T08:30:05.260788Z;95
2024-11-20T08:40:04.431602Z;100
2024-11-20T08:50:05.326525Z;101
2024-11-20T09:00:08.448908Z;101
2024-11-20T09:10:05.335598Z;115
2024-11-20T09:20:05.159526Z;122
2024-11-20T09:30:05.799728Z;122
2024-11-20T09:40:05.444691Z;118
2024-11-20T09:50:08.994039Z;129
2024-11-20T10:00:06.777838Z;129
2024-11-20T10:10:06.057767Z;125
2024-11-20T10:20:05.511019Z;111
2024-11-20T10:30:05.233854Z;111
2024-11-20T10:40:07.298544Z;105
2024-11-20T10:50:04.838106Z;105
2024-11-20T11:00:05.077341Z;105
2024-11-20T11:10:08.276619Z;118
2024-11-20T11:20:04.830973Z;125
2024-11-20T11:30:05.311943Z;125
2024-11-20T11:40:08.188559Z;122
2024-11-20T11:50:07.573858Z;118
2024-11-20T12:00:05.533773Z;118
2024-11-20T12:10:05.293277Z;109
2024-11-20T12:20:05.103838Z;98
2024-11-20T12:30:05.712646Z;98
2024-11-20T12:50:04.778015Z;87
2024-11-20T13:00:09.245486Z;87
2024-11-20T13:10:04.366444Z;85
2024-11-20T13:20:04.455561Z;92
2024-11-20T13:30:05.410244Z;92
2024-11-20T13:40:04.894270Z;93
2024-11-20T13:50:12.464739Z;94
2024-11-20T14:00:07.572878Z;94
2024-11-20T14:10:04.801394Z;90
2024-11-20T14:20:04.964128Z;87
2024-11-20T14:30:04.830701Z;87
2024-11-20T14:40:04.734753Z;94
2024-11-20T14:50:06.330918Z;95
2024-11-20T15:00:06.076374Z;95
2024-11-20T15:10:04.997235Z;93
2024-11-20T15:20:03.827696Z;91
2024-11-20T15:30:06.497660Z;91
2024-11-20T15:40:04.817375Z;102
2024-11-20T15:50:05.504585Z;112
2024-11-20T16:00:07.492211Z;112
2024-11-20T16:10:05.294828Z;116
2024-11-20T16:20:05.241205Z;135
2024-11-20T16:30:05.273082Z;135
2024-11-20T16:40:05.446542Z;161
2024-11-20T16:50:06.459330Z;191
2024-11-20T17:00:05.730425Z;191
2024-11-20T17:10:04.868740Z;234
2024-11-20T17:20:05.422901Z;234
2024-11-20T17:30:04.499583Z;234
2024-11-20T17:40:09.400335Z;218
2024-11-20T17:50:05.266901Z;242
2024-11-20T18:00:05.462381Z;242
2024-11-20T18:10:05.706006Z;243
2024-11-20T18:20:06.102841Z;220
2024-11-20T18:30:05.740646Z;220
2024-11-20T18:40:06.212336Z;198
2024-11-20T18:50:04.893973Z;194
2024-11-20T19:00:06.477027Z;194
2024-11-20T19:10:04.314138Z;189
2024-11-20T19:20:04.052745Z;184
2024-11-20T19:30:08.722185Z;184
2024-11-20T19:40:05.290279Z;177
2024-11-20T19:50:06.424880Z;158
2024-11-20T20:00:07.206883Z;158
2024-11-20T20:10:05.913803Z;142
2024-11-20T20:20:04.448508Z;122
2024-11-20T20:30:04.652555Z;122
2024-11-20T20:40:06.071669Z;106
2024-11-20T20:50:04.128701Z;66
2024-11-20T21:00:06.934629Z;66
2024-11-20T21:10:03.900918Z;16
2024-11-20T21:20:04.805419Z;—
2024-11-20T21:30:04.773906Z;—
2024-11-20T21:40:05.552212Z;—
2024-11-20T21:50:04.538869Z;—
2024-11-20T22:00:05.132966Z;—
2024-11-20T22:10:05.335133Z;—
2024-11-20T22:20:06.126337Z;—
2024-11-20T22:30:04.862793Z;—
2024-11-20T22:40:05.016336Z;—
2024-11-20T22:50:04.867507Z;—
2024-11-20T23:00:07.326967Z;—
2024-11-20T23:10:05.780752Z;—
2024-11-21T04:40:04.875565Z;—
2024-11-21T04:50:04.717731Z;—
2024-11-21T05:00:07.748640Z;—
2024-11-21T05:10:05.591632Z;—
2024-11-21T05:20:04.592495Z;33
2024-11-21T05:30:09.099457Z;33
2024-11-21T05:40:10.411204Z;42
2024-11-21T05:50:06.409337Z;49
2024-11-21T06:00:05.628914Z;49
2024-11-21T06:10:05.552865Z;58
2024-11-21T06:20:06.576826Z;59
2024-11-21T06:30:05.732911Z;59
2024-11-21T06:40:05.629926Z;49
2024-11-21T06:50:05.586265Z;42
2024-11-21T07:00:06.564383Z;42
2024-11-21T07:10:04.446810Z;43
2024-11-21T07:20:13.108482Z;43
2024-11-21T07:30:04.165664Z;43
2024-11-21T07:40:07.150238Z;50
2024-11-21T07:50:05.377486Z;70
